MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM
22.74,13.48,82.7,47.94,21.07,12.02,13.39468009687916
22.01,13.15,87.1,63.1,30.07,13.54,17.52937934671889
19.71,11.12,94.6,68.46,29.89,14.17,19.020357606834544
18.56,9.87,95.5,72.1,28.61,14.3,20.047964408730437
16.78,8.77,85.9,52.04,23.15,14.61,14.520768794534403
18.16,9.5,90.5,60.72,26.02,14.41,16.9116584394124
21.16,11.77,75.0,49.39,21.34,14.09,13.797520882612787
21.68,13.3,84.8,55.62,24.28,14.28,15.508585489158468
22.28,13.21,88.9,54.05,14.0,14.82,15.170287645946821
17.9,10.45,98.7,73.5,37.75,14.73,20.318876030050202
19.82,11.34,99.2,68.1,33.15,14.63,18.8810622770964
19.43,11.64,91.5,70.0,36.08,13.18,19.37198741437528
15.91,10.3,96.5,78.1,51.57,14.62,21.40325458188657
22.94,12.75,94.4,56.97,23.2,14.26,15.895777658754259
21.48,12.95,95.5,63.73,30.87,15.57,17.695178754356004
22.34,14.73,86.7,45.38,16.4,14.31,12.717320600451286
21.74,13.44,72.8,47.65,23.28,16.33,13.295053356312332
20.1,12.17,78.2,54.66,32.22,16.58,15.164214759242181
23.94,13.75,75.6,40.48,14.67,17.12,11.356903700164061
21.21,12.65,97.8,56.27,27.95,16.92,15.652873975326715
18.16,11.06,97.0,80.8,50.31,15.27,22.160708241336657
20.21,13.46,97.3,67.47,31.81,16.45,18.72237599485647
16.64,12.61,95.0,65.86,32.43,15.48,18.268456593013312
13.06,9.35,94.0,81.5,62.54,5724.0,22.18231454003111
16.18,9.26,97.8,73.3,37.5,16.89,20.26681262984763
17.9,10.67,98.5,74.1,31.36,15.56,20.567989882085897
19.35,10.93,99.3,70.6,21.21,17.5,19.72379225824373
18.82,10.46,99.6,79.3,38.29,16.95,21.914750776532415
16.5,9.81,98.2,86.4,58.83,11.9,23.570361865796137
22.34,12.78,98.4,63.93,24.0,18.28,17.828550870673464
17.63,10.77,92.2,65.24,43.1,18.44,17.97470023137174
20.01,10.46,98.1,71.3,30.47,19.0,19.80201070242403
22.81,12.56,96.3,52.32,21.8,18.76,14.61137871859963
19.3,12.01,98.3,58.15,22.28,18.36,16.234487635436434
17.11,11.19,98.4,79.0,40.69,15.42,21.798750783103692
19.36,11.61,96.8,62.97,24.49,17.38,17.55535829854278
20.14,12.11,93.2,57.47,18.68,18.5,16.081743061563177
22.88,13.21,78.8,49.27,19.87,19.72,13.776909789194928
23.74,14.17,76.5,42.81,15.87,19.55,12.001339079149343
25.46,15.08,61.85,34.64,11.93,15.59,9.735772494036308
24.41,16.01,59.69,35.46,11.47,19.4,9.969186103857048
20.3,11.83,94.2,67.51,29.27,14.17,18.76383553209006
17.51,11.78,96.1,71.0,35.29,14.99,19.65844960807492
20.81,12.48,95.5,60.55,28.8,19.38,16.834387756138355
17.11,11.61,90.6,70.4,42.91,16.39,19.39872116402412
17.56,11.71,95.6,76.3,45.29,18.79,20.992770686337803
20.22,11.48,97.6,56.75,15.34,21.75,15.914279435753302
17.16,11.26,89.3,62.98,44.36,19.09,17.338339046128244
16.76,11.24,94.8,74.9,48.82,19.87,20.561858534441676
15.65,11.92,75.9,68.24,56.11,12.14,18.648715748528677
19.88,13.39,89.5,68.41,42.41,13.9,18.856409186026042
19.94,13.04,93.3,56.42,29.94,20.95,15.67482260859237
18.5,12.57,79.3,59.5,37.21,16.74,16.454758729341908
18.56,11.16,95.0,73.2,34.68,14.2,20.275453338332508
19.74,12.52,94.2,63.38,32.34,21.73,17.58158561467645
21.94,12.96,92.6,63.22,23.75,21.79,17.633475924755444
19.23,11.23,97.4,67.14,21.54,12.5,18.75322678686397
16.38,10.43,97.1,70.8,37.5,14.19,19.575604344323157
19.88,11.86,96.5,75.6,42.41,19.81,20.837983691838083
22.81,13.84,97.2,59.73,18.0,22.64,16.721390708691782
21.08,13.7,80.9,54.12,24.34,22.76,15.0898431683875
16.58,11.92,96.6,75.2,45.94,11.51,20.68161918741951
15.98,11.28,66.39,54.89,39.77,20.57,15.155609489324638
17.7,12.22,69.97,43.39,24.42,23.23,12.09766956688065
16.9,11.9,65.65,35.53,14.48,24.12,9.969423014578696
17.7,10.67,84.6,54.53,24.95,23.46,15.198113537926229
16.97,11.23,90.4,63.22,32.63,17.97,17.53403431692689
17.5,12.22,92.1,75.4,56.23,14.6,20.603229037846976
18.24,13.28,96.9,71.1,44.37,13.1,19.573397370640027
20.55,15.25,88.3,44.09,21.14,25.19,12.318342119200134
19.56,13.99,59.96,41.75,27.15,22.54,11.620504932039868
21.88,14.76,72.2,43.29,25.94,25.34,12.058190608126967
21.68,13.85,85.2,49.95,21.14,23.5,13.955597257885753
