MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall
22.74,13.48,82.7,47.94,21.07,12.02
22.01,13.15,87.1,63.1,30.07,13.54
19.71,11.12,94.6,68.46,29.89,14.17
18.56,9.87,95.5,72.1,28.61,14.3
16.78,8.77,85.9,52.04,23.15,14.61
18.16,9.5,90.5,60.72,26.02,14.41
21.16,11.77,75,49.39,21.34,14.09
21.68,13.3,84.8,55.62,24.28,14.28
22.28,13.21,88.9,54.05,14,14.82
17.9,10.45,98.7,73.5,37.75,14.73
19.82,11.34,99.2,68.1,33.15,14.63
19.43,11.64,91.5,70,36.08,13.18
15.91,10.3,96.5,78.1,51.57,14.62
22.94,12.75,94.4,56.97,23.2,14.26
21.48,12.95,95.5,63.73,30.87,15.57
22.34,14.73,86.7,45.38,16.4,14.31
21.74,13.44,72.8,47.65,23.28,16.33
20.1,12.17,78.2,54.66,32.22,16.58
23.94,13.75,75.6,40.48,14.67,17.12
21.21,12.65,97.8,56.27,27.95,16.92
18.16,11.06,97,80.8,50.31,15.27
20.21,13.46,97.3,67.47,31.81,16.45
16.64,12.61,95,65.86,32.43,15.48
13.06,9.35,94,81.5,62.54,5724
16.18,9.26,97.8,73.3,37.5,16.89
17.9,10.67,98.5,74.1,31.36,15.56
19.35,10.93,99.3,70.6,21.21,17.5
18.82,10.46,99.6,79.3,38.29,16.95
16.5,9.81,98.2,86.4,58.83,11.9
22.34,12.78,98.4,63.93,24,18.28
17.63,10.77,92.2,65.24,43.1,18.44
20.01,10.46,98.1,71.3,30.47,19
22.81,12.56,96.3,52.32,21.8,18.76
19.3,12.01,98.3,58.15,22.28,18.36
17.11,11.19,98.4,79,40.69,15.42
19.36,11.61,96.8,62.97,24.49,17.38
20.14,12.11,93.2,57.47,18.68,18.5
22.88,13.21,78.8,49.27,19.87,19.72
23.74,14.17,76.5,42.81,15.87,19.55
25.46,15.08,61.85,34.64,11.93,15.59
24.41,16.01,59.69,35.46,11.47,19.4
20.3,11.83,94.2,67.51,29.27,14.17
17.51,11.78,96.1,71,35.29,14.99
20.81,12.48,95.5,60.55,28.8,19.38
17.11,11.61,90.6,70.4,42.91,16.39
17.56,11.71,95.6,76.3,45.29,18.79
20.22,11.48,97.6,56.75,15.34,21.75
17.16,11.26,89.3,62.98,44.36,19.09
16.76,11.24,94.8,74.9,48.82,19.87
15.65,11.92,75.9,68.24,56.11,12.14
19.88,13.39,89.5,68.41,42.41,13.9
19.94,13.04,93.3,56.42,29.94,20.95
18.5,12.57,79.3,59.5,37.21,16.74
18.56,11.16,95,73.2,34.68,14.2
